사용본거지법정동명,동별 총 대수,휘발유,경유,엘피지,전기,휘발유(유연),휘발유(무연),CNG,"하이브리드
(휘발유+전기)","하이브리드
(경유+전기)","하이브리드
(LPG+전기)","하이브리드
(CNG+전기)",수소,기타연료
서울특별시 성북구 돈암동,"12,033 ","2,876 ","3,625 ",686 ,66 ,3 ,"4,144 ",1 ,580 ,8 ,7 ,,4 ,33 
서울특별시 성북구 동소문동1가,248 ,55 ,96 ,11 ,2 ,,72 ,,10 ,,,,,2 
서울특별시 성북구 동소문동2가,109 ,23 ,40 ,13 ,1 ,,28 ,,2 ,,1 ,,,1 
서울특별시 성북구 동소문동3가,50 ,8 ,25 ,5 ,,,12 ,,,,,,,
서울특별시 성북구 동소문동4가,819 ,182 ,255 ,60 ,5 ,,291 ,,23 ,,1 ,,,2 
서울특별시 성북구 동소문동5가,341 ,75 ,146 ,14 ,1 ,,93 ,,11 ,,,,1 ,
서울특별시 성북구 동소문동6가,466 ,82 ,227 ,29 ,,,121 ,1 ,5 ,1 ,,,,
서울특별시 성북구 동소문동7가,690 ,170 ,208 ,31 ,1 ,,241 ,,36 ,,1 ,,,2 
서울특별시 성북구 삼선동1가,847 ,191 ,293 ,73 ,3 ,1 ,264 ,,21 ,,,,,1 
서울특별시 성북구 삼선동2가,"1,668 ",376 ,587 ,79 ,6 ,1 ,541 ,,72 ,,,,1 ,5 
서울특별시 성북구 삼선동3가,"1,050 ",225 ,400 ,56 ,7 ,,314 ,,44 ,,1 ,,,3 
서울특별시 성북구 삼선동4가,714 ,143 ,229 ,59 ,2 ,,247 ,,32 ,,,,2 ,
서울특별시 성북구 삼선동5가,974 ,151 ,425 ,46 ,35 ,,283 ,15 ,15 ,,2 ,,,2 
서울특별시 성북구 동선동1가,223 ,48 ,80 ,17 ,2 ,,71 ,,4 ,1 ,,,,
서울특별시 성북구 동선동2가,359 ,77 ,130 ,27 ,3 ,,111 ,8 ,3 ,,,,,
서울특별시 성북구 동선동3가,511 ,102 ,190 ,38 ,,,163 ,,16 ,1 ,,,,1 
서울특별시 성북구 동선동4가,560 ,109 ,207 ,44 ,1 ,,179 ,,17 ,,1 ,,,2 
서울특별시 성북구 동선동5가,458 ,90 ,155 ,37 ,1 ,,163 ,,11 ,1 ,,,,
서울특별시 성북구 안암동1가,873 ,192 ,276 ,63 ,6 ,1 ,281 ,,49 ,1 ,,,,4 
서울특별시 성북구 안암동2가,390 ,59 ,139 ,45 ,2 ,,133 ,,11 ,,1 ,,,
서울특별시 성북구 안암동3가,917 ,179 ,338 ,73 ,,,306 ,,19 ,1 ,,,,1 
서울특별시 성북구 안암동4가,321 ,55 ,136 ,20 ,,,101 ,,8 ,,1 ,,,
서울특별시 성북구 안암동5가,622 ,121 ,240 ,43 ,2 ,1 ,198 ,,15 ,,,,,2 
서울특별시 성북구 보문동4가,356 ,65 ,169 ,17 ,7 ,,89 ,,9 ,,,,,
서울특별시 성북구 보문동5가,450 ,69 ,221 ,37 ,2 ,,115 ,,6 ,,,,,
서울특별시 성북구 보문동6가,"1,746 ",364 ,632 ,92 ,12 ,,569 ,,66 ,,2 ,,1 ,8 
서울특별시 성북구 보문동7가,305 ,58 ,140 ,11 ,1 ,,87 ,,7 ,1 ,,,,
서울특별시 성북구 보문동1가,96 ,16 ,41 ,9 ,,,27 ,,3 ,,,,,
서울특별시 성북구 보문동2가,630 ,97 ,183 ,199 ,5 ,,135 ,,10 ,,,,1 ,
서울특별시 성북구 보문동3가,844 ,220 ,261 ,36 ,4 ,,277 ,,43 ,,,,2 ,1 
서울특별시 성북구 정릉동,"23,462 ","4,413 ","7,907 ","2,040 ",185 ,6 ,"7,385 ",607 ,841 ,8 ,11 ,3 ,9 ,47 
서울특별시 성북구 길음동,"14,661 ","3,275 ","4,526 ",847 ,87 ,9 ,"5,199 ",14 ,652 ,7 ,5 ,,7 ,33 
서울특별시 성북구 종암동,"10,743 ","2,226 ","3,867 ",795 ,58 ,3 ,"3,337 ",1 ,414 ,8 ,5 ,,3 ,26 
서울특별시 성북구 하월곡동,"11,644 ","2,388 ","4,174 ",851 ,57 ,2 ,"3,711 ",2 ,412 ,8 ,5 ,,6 ,28 
서울특별시 성북구 상월곡동,"2,586 ",441 ,977 ,249 ,16 ,,823 ,,71 ,1 ,3 ,,3 ,2 
서울특별시 성북구 장위동,"14,994 ","2,761 ","5,664 ","1,334 ",86 ,7 ,"4,592 ",11 ,493 ,5 ,8 ,,6 ,27 
서울특별시 성북구 석관동,"9,789 ","1,655 ","3,749 ","1,015 ",45 ,4 ,"2,938 ",84 ,279 ,3 ,,,4 ,13 
서울특별시 강북구 미아동,"33,095 ","6,075 ","11,969 ","3,038 ",151 ,9 ,"10,711 ",11 ,"1,025 ",11 ,17 ,,10 ,68 
서울특별시 강북구 번동,"12,991 ","2,102 ","4,596 ","1,824 ",89 ,3 ,"3,844 ",222 ,288 ,1 ,4 ,,3 ,15 
서울특별시 강북구 수유동,"26,223 ","4,476 ","9,868 ","2,790 ",146 ,8 ,"7,969 ",294 ,616 ,6 ,15 ,,6 ,29 
서울특별시 강북구 우이동,"3,263 ",608 ,"1,190 ",289 ,14 ,1 ,925 ,146 ,86 ,,2 ,,1 ,1 
서울특별시 도봉구 쌍문동,"20,735 ","3,603 ","7,450 ","2,283 ",87 ,7 ,"6,703 ",15 ,535 ,5 ,12 ,,2 ,33 
서울특별시 도봉구 방학동,"23,568 ","4,008 ","8,141 ","3,414 ",185 ,9 ,"7,145 ",11 ,586 ,5 ,9 ,,5 ,50 
서울특별시 도봉구 창동,"36,270 ","6,670 ","12,570 ","3,672 ",170 ,14 ,"11,843 ",35 ,"1,176 ",19 ,27 ,,14 ,60 
서울특별시 도봉구 도봉동,"15,097 ","2,587 ","5,440 ","1,873 ",70 ,5 ,"4,396 ",289 ,387 ,4 ,11 ,8 ,4 ,23 
서울특별시 노원구 월계동,"23,740 ","4,270 ","8,102 ","2,688 ",104 ,10 ,"7,601 ",144 ,745 ,2 ,19 ,,6 ,49 
서울특별시 노원구 공릉동,"23,406 ","4,233 ","7,997 ","2,568 ",104 ,4 ,"7,485 ",66 ,853 ,6 ,17 ,,17 ,56 
서울특별시 노원구 하계동,"13,853 ","2,796 ","4,349 ","1,157 ",55 ,3 ,"4,883 ",4 ,569 ,7 ,4 ,,6 ,20 
서울특별시 노원구 상계동,"60,809 ","11,063 ","19,723 ","7,255 ",341 ,23 ,"19,975 ",383 ,"1,857 ",14 ,39 ,31 ,16 ,89 
서울특별시 노원구 중계동,"30,609 ","6,149 ","9,881 ","2,741 ",121 ,10 ,"10,389 ",10 ,"1,206 ",12 ,17 ,,10 ,63 
서울특별시 은평구 수색동,"3,996 ",834 ,"1,266 ",300 ,20 ,,"1,228 ",165 ,162 ,5 ,2 ,1 ,5 ,8 
서울특별시 은평구 녹번동,"10,478 ","2,048 ","3,683 ",721 ,87 ,4 ,"3,462 ",18 ,428 ,4 ,2 ,,7 ,14 
서울특별시 은평구 불광동,"16,876 ","3,489 ","5,603 ","1,362 ",64 ,8 ,"5,725 ",1 ,583 ,2 ,12 ,,7 ,20 
서울특별시 은평구 갈현동,"13,170 ","2,559 ","4,622 ","1,178 ",41 ,4 ,"4,379 ",1 ,352 ,1 ,5 ,,4 ,24 
서울특별시 은평구 구산동,"9,384 ","1,652 ","3,241 ",913 ,41 ,2 ,"2,945 ",295 ,264 ,1 ,11 ,,5 ,14 
서울특별시 은평구 대조동,"6,012 ","1,239 ","2,128 ",544 ,18 ,,"1,917 ",,152 ,1 ,3 ,,5 ,5 
서울특별시 은평구 응암동,"23,504 ","4,761 ","8,119 ","1,804 ",126 ,14 ,"7,737 ",2 ,861 ,12 ,18 ,,12 ,38 
서울특별시 은평구 역촌동,"12,220 ","2,308 ","4,397 ","1,104 ",49 ,2 ,"3,969 ",2 ,361 ,1 ,4 ,,6 ,17 
서울특별시 은평구 신사동,"14,357 ","2,361 ","4,737 ","2,457 ",79 ,4 ,"4,267 ",7 ,393 ,2 ,12 ,,18 ,20 
서울특별시 은평구 증산동,"4,660 ",798 ,"1,646 ",679 ,25 ,2 ,"1,354 ",2 ,134 ,1 ,3 ,,6 ,10 
서울특별시 은평구 진관동,"17,958 ","4,097 ","5,384 ","1,376 ",171 ,6 ,"5,799 ",214 ,824 ,7 ,14 ,,20 ,46 
서울특별시 서대문구 충정로2가,511 ,94 ,207 ,26 ,1 ,,167 ,,13 ,,,,1 ,2 
서울특별시 서대문구 충정로3가,"1,814 ",309 ,717 ,186 ,5 ,1 ,510 ,6 ,77 ,,,,1 ,2 
서울특별시 서대문구 합동,400 ,125 ,114 ,23 ,8 ,,118 ,,12 ,,,,,
서울특별시 서대문구 미근동,826 ,42 ,471 ,15 ,11 ,,228 ,,26 ,,1 ,,1 ,31 
서울특별시 서대문구 냉천동,927 ,215 ,280 ,44 ,4 ,,330 ,1 ,49 ,2 ,1 ,,1 ,
서울특별시 서대문구 천연동,"1,230 ",251 ,400 ,87 ,5 ,,433 ,,53 ,,,,,1 
서울특별시 서대문구 옥천동,166 ,35 ,53 ,18 ,,1 ,56 ,,3 ,,,,,
서울특별시 서대문구 영천동,"1,077 ",211 ,387 ,75 ,4 ,,353 ,,45 ,,1 ,,,1 
서울특별시 서대문구 현저동,"1,546 ",412 ,393 ,72 ,9 ,1 ,559 ,,97 ,,,,3 ,
서울특별시 서대문구 북아현동,"7,861 ","1,851 ","2,589 ",454 ,61 ,5 ,"2,505 ",19 ,350 ,7 ,6 ,,4 ,10 
서울특별시 서대문구 홍제동,"14,294 ","3,050 ","4,612 ",969 ,63 ,5 ,"4,945 ",7 ,595 ,5 ,15 ,,11 ,17 
서울특별시 서대문구 대현동,"1,329 ",287 ,370 ,153 ,8 ,,450 ,,56 ,2 ,,,2 ,1 
서울특별시 서대문구 대신동,291 ,80 ,96 ,7 ,1 ,,94 ,,12 ,1 ,,,,
서울특별시 서대문구 신촌동,271 ,63 ,107 ,7 ,1 ,,79 ,3 ,9 ,,,,1 ,1 
서울특별시 서대문구 봉원동,122 ,19 ,50 ,10 ,1 ,,39 ,,3 ,,,,,
서울특별시 서대문구 창천동,"1,970 ",435 ,649 ,211 ,13 ,,595 ,,61 ,1 ,2 ,,2 ,1 
서울특별시 서대문구 연희동,"10,159 ","2,406 ","3,394 ",685 ,108 ,8 ,"3,136 ",14 ,381 ,5 ,6 ,,10 ,6 
서울특별시 서대문구 홍은동,"14,485 ","2,942 ","4,846 ","1,254 ",86 ,4 ,"4,722 ",77 ,513 ,1 ,5 ,2 ,7 ,26 
서울특별시 서대문구 북가좌동,"16,225 ","2,768 ","5,606 ","2,370 ",92 ,2 ,"4,740 ",54 ,526 ,3 ,4 ,,11 ,49 
서울특별시 서대문구 남가좌동,"13,967 ","3,011 ","4,647 ",840 ,72 ,6 ,"4,535 ",91 ,693 ,17 ,5 ,,15 ,35 
서울특별시 마포구 아현동,"7,415 ","1,932 ","2,236 ",348 ,44 ,2 ,"2,404 ",2 ,421 ,6 ,1 ,,5 ,14 
서울특별시 마포구 공덕동,"8,174 ","1,991 ","2,697 ",385 ,53 ,,"2,618 ",,393 ,6 ,5 ,,8 ,18 
서울특별시 마포구 신공덕동,"4,128 ","1,091 ","1,205 ",210 ,44 ,,"1,345 ",,218 ,4 ,1 ,,3 ,7 
서울특별시 마포구 도화동,"9,224 ","2,167 ","3,280 ",465 ,52 ,3 ,"2,805 ",1 ,400 ,6 ,1 ,,2 ,42 
서울특별시 마포구 용강동,"2,653 ",703 ,775 ,124 ,16 ,2 ,869 ,,152 ,2 ,1 ,,2 ,7 
서울특별시 마포구 토정동,496 ,130 ,157 ,17 ,2 ,1 ,166 ,,21 ,,1 ,,,1 
서울특별시 마포구 마포동,"2,789 ",365 ,"1,072 ",173 ,11 ,,"1,055 ",,108 ,2 ,,,1 ,2 
서울특별시 마포구 대흥동,"4,890 ","1,143 ","1,548 ",298 ,30 ,2 ,"1,606 ",,244 ,3 ,2 ,,7 ,7 
서울특별시 마포구 염리동,"5,620 ","1,362 ","2,051 ",226 ,35 ,2 ,"1,645 ",,262 ,3 ,6 ,,6 ,22 
서울특별시 마포구 노고산동,"1,259 ",311 ,387 ,133 ,4 ,,392 ,,29 ,,1 ,,1 ,1 
서울특별시 마포구 신수동,"4,779 ","1,047 ","1,651 ",288 ,23 ,3 ,"1,519 ",13 ,219 ,3 ,3 ,,4 ,6 
서울특별시 마포구 현석동,"1,838 ",494 ,567 ,61 ,10 ,1 ,580 ,,116 ,5 ,,,3 ,1 
서울특별시 마포구 구수동,462 ,53 ,285 ,23 ,6 ,,91 ,,4 ,,,,,
서울특별시 마포구 창전동,"4,478 ","1,090 ","1,343 ",235 ,29 ,1 ,"1,532 ",3 ,222 ,1 ,4 ,,7 ,11 
서울특별시 마포구 상수동,"2,347 ",580 ,769 ,92 ,23 ,,731 ,,139 ,2 ,,,2 ,9 
서울특별시 마포구 하중동,575 ,195 ,151 ,13 ,5 ,,164 ,,45 ,,,,,2 
서울특별시 마포구 신정동,590 ,152 ,182 ,24 ,5 ,,199 ,,27 ,,1 ,,,
서울특별시 마포구 당인동,262 ,49 ,88 ,19 ,1 ,,87 ,,14 ,,2 ,,1 ,1 
서울특별시 마포구 서교동,"6,558 ","1,559 ","2,297 ",334 ,39 ,3 ,"2,070 ",,228 ,3 ,5 ,,8 ,12 
서울특별시 마포구 동교동,"1,775 ",387 ,684 ,92 ,13 ,,522 ,,73 ,1 ,,,1 ,2 
서울특별시 마포구 합정동,"6,483 ","1,196 ","2,698 ",531 ,47 ,1 ,"1,794 ",2 ,190 ,1 ,3 ,,11 ,9 
서울특별시 마포구 망원동,"11,068 ","2,132 ","4,052 ","1,131 ",67 ,4 ,"3,237 ",28 ,370 ,1 ,6 ,,8 ,32 
서울특별시 마포구 연남동,"4,165 ",917 ,"1,465 ",261 ,27 ,2 ,"1,307 ",11 ,162 ,4 ,4 ,,1 ,4 
서울특별시 마포구 성산동,"14,656 ","2,896 ","5,447 ","1,127 ",105 ,3 ,"4,447 ",23 ,545 ,13 ,7 ,,12 ,31 
서울특별시 마포구 중동,"3,131 ",679 ,977 ,270 ,15 ,,"1,046 ",2 ,129 ,1 ,2 ,,7 ,3 
서울특별시 마포구 상암동,"11,322 ","2,362 ","3,711 ","1,061 ",110 ,3 ,"3,326 ",233 ,452 ,9 ,5 ,,23 ,27 
서울특별시 양천구 신정동,"57,798 ","12,570 ","19,015 ","4,040 ",361 ,14 ,"18,812 ",317 ,"2,445 ",32 ,43 ,,30 ,119 
서울특별시 양천구 목동,"48,674 ","12,556 ","14,814 ","2,541 ",245 ,16 ,"16,062 ",21 ,"2,245 ",28 ,14 ,,31 ,101 
서울특별시 양천구 신월동,"45,039 ","7,209 ","16,760 ","6,839 ",195 ,10 ,"12,492 ",282 ,"1,109 ",9 ,34 ,,11 ,89 
서울특별시 강서구 염창동,"15,262 ","3,310 ","4,960 ","1,144 ",72 ,7 ,"4,955 ",,766 ,9 ,5 ,,11 ,23 
서울특별시 강서구 등촌동,"25,048 ","5,116 ","8,180 ","2,210 ",116 ,10 ,"8,361 ",5 ,960 ,12 ,15 ,,16 ,47 
서울특별시 강서구 화곡동,"64,604 ","12,600 ","22,680 ","5,673 ",277 ,25 ,"21,040 ",12 ,"2,104 ",17 ,36 ,,26 ,114 
서울특별시 강서구 가양동,"24,557 ","4,766 ","8,348 ","2,158 ",124 ,5 ,"7,894 ",20 ,"1,192 ",10 ,8 ,,16 ,16 
서울특별시 강서구 마곡동,"24,705 ","4,134 ","8,086 ","1,642 ",389 ,8 ,"6,664 ",11 ,"3,662 ",20 ,11 ,,15 ,63 
서울특별시 강서구 내발산동,"14,363 ","2,873 ","4,793 ","1,440 ",65 ,5 ,"4,632 ",2 ,504 ,3 ,9 ,,10 ,27 
서울특별시 강서구 외발산동,"1,593 ",137 ,646 ,379 ,5 ,,297 ,89 ,25 ,2 ,1 ,,,12 
서울특별시 강서구 공항동,"6,930 ","1,121 ","2,865 ",665 ,37 ,3 ,"2,021 ",3 ,192 ,2 ,4 ,,1 ,16 
서울특별시 강서구 방화동,"26,195 ","4,444 ","8,362 ","4,743 ",124 ,6 ,"7,544 ",118 ,798 ,7 ,13 ,,6 ,30 
서울특별시 강서구 개화동,"1,424 ",174 ,755 ,81 ,26 ,,225 ,136 ,22 ,1 ,,,,4 
서울특별시 강서구 과해동,114 ,6 ,84 ,,7 ,,10 ,3 ,3 ,,,,,1 
서울특별시 강서구 오곡동,46 ,3 ,34 ,1 ,,,7 ,,,,,,,1 
서울특별시 강서구 오쇠동,94 ,6 ,64 ,1 ,2 ,,19 ,,,,,,,2 
서울특별시 구로구 신도림동,"12,591 ","2,888 ","4,065 ",608 ,56 ,6 ,"4,312 ",15 ,597 ,3 ,8 ,,5 ,28 
서울특별시 구로구 구로동,"53,618 ","8,429 ","20,628 ","5,140 ","1,693 ",9 ,"15,578 ",235 ,"1,644 ",22 ,30 ,,108 ,102 
서울특별시 구로구 가리봉동,"2,789 ",425 ,"1,359 ",187 ,5 ,,743 ,,65 ,,4 ,,,1 
서울특별시 구로구 고척동,"16,747 ","2,882 ","6,631 ","1,408 ",75 ,4 ,"5,187 ",11 ,499 ,,11 ,,6 ,33 
서울특별시 구로구 개봉동,"25,992 ","4,693 ","9,629 ","2,215 ",96 ,9 ,"8,323 ",125 ,819 ,3 ,14 ,,8 ,58 
서울특별시 구로구 오류동,"14,424 ","2,475 ","5,284 ","1,464 ",68 ,7 ,"4,609 ",3 ,463 ,2 ,5 ,,10 ,34 
서울특별시 구로구 궁동,"4,684 ",696 ,"1,906 ",496 ,18 ,1 ,"1,430 ",1 ,120 ,,8 ,,1 ,7 
서울특별시 구로구 온수동,"3,419 ",650 ,"1,190 ",422 ,10 ,1 ,"1,010 ",16 ,107 ,,4 ,,2 ,7 
서울특별시 구로구 천왕동,"4,294 ",747 ,"1,495 ",549 ,24 ,2 ,"1,345 ",,110 ,1 ,4 ,,2 ,15 
서울특별시 구로구 항동,"5,604 ",985 ,"1,946 ",436 ,53 ,4 ,"1,905 ",1 ,241 ,3 ,6 ,,7 ,17 
서울특별시 금천구 가산동,"20,099 ","3,000 ","9,000 ",906 ,214 ,12 ,"5,965 ",154 ,746 ,19 ,9 ,,10 ,64 
서울특별시 금천구 독산동,"34,721 ","5,628 ","13,688 ","3,394 ",149 ,14 ,"10,695 ",30 ,"1,004 ",16 ,45 ,,12 ,46 
서울특별시 금천구 시흥동,"35,008 ","5,548 ","14,047 ","3,197 ",163 ,15 ,"10,776 ",212 ,953 ,8 ,31 ,,6 ,52 
서울특별시 영등포구 영등포동,"4,126 ",853 ,"1,490 ",265 ,24 ,1 ,"1,299 ",,180 ,1 ,,,7 ,6 
서울특별시 영등포구 영등포동1가,852 ,181 ,231 ,43 ,13 ,1 ,330 ,,49 ,1 ,,,1 ,2 
서울특별시 영등포구 영등포동2가,"1,606 ",265 ,776 ,70 ,5 ,1 ,426 ,,48 ,1 ,1 ,,1 ,12 
서울특별시 영등포구 영등포동3가,441 ,97 ,156 ,33 ,3 ,,140 ,2 ,9 ,,,,,1 
서울특별시 영등포구 영등포동4가,558 ,124 ,170 ,86 ,9 ,,149 ,,18 ,,1 ,,,1 
서울특별시 영등포구 영등포동5가,652 ,111 ,315 ,52 ,5 ,,151 ,1 ,16 ,1 ,,,,
서울특별시 영등포구 영등포동6가,516 ,92 ,197 ,33 ,4 ,1 ,161 ,,27 ,,,,1 ,
서울특별시 영등포구 영등포동7가,"3,706 ",768 ,"1,399 ",179 ,34 ,1 ,"1,156 ",1 ,153 ,2 ,,,6 ,7 
서울특별시 영등포구 영등포동8가,"1,995 ",435 ,626 ,103 ,10 ,2 ,704 ,,103 ,1 ,,,2 ,9 
서울특별시 영등포구 여의도동,"21,406 ","5,650 ","6,386 ",503 ,"1,452 ",4 ,"5,970 ",4 ,"1,285 ",15 ,8 ,,46 ,83 
서울특별시 영등포구 당산동1가,"2,019 ",377 ,774 ,124 ,13 ,,642 ,1 ,74 ,,7 ,,1 ,6 
서울특별시 영등포구 당산동2가,"2,066 ",383 ,769 ,125 ,4 ,2 ,695 ,,61 ,,1 ,,2 ,24 
서울특별시 영등포구 당산동3가,"3,694 ",706 ,"1,475 ",224 ,64 ,,"1,062 ",14 ,124 ,2 ,3 ,,7 ,13 
서울특별시 영등포구 당산동4가,"4,771 ","1,106 ","1,499 ",195 ,31 ,1 ,"1,629 ",55 ,238 ,4 ,2 ,,2 ,9 
서울특별시 영등포구 당산동5가,"4,346 ","1,168 ","1,191 ",165 ,20 ,2 ,"1,522 ",,264 ,3 ,2 ,,3 ,6 
서울특별시 영등포구 당산동6가,"1,187 ",231 ,488 ,72 ,7 ,,355 ,,29 ,,,,1 ,4 
서울특별시 영등포구 당산동,"2,468 ",527 ,722 ,231 ,17 ,5 ,817 ,1 ,138 ,2 ,2 ,,3 ,3 
서울특별시 영등포구 도림동,"5,744 ","1,078 ","2,282 ",447 ,26 ,3 ,"1,688 ",11 ,188 ,2 ,4 ,,4 ,11 
서울특별시 영등포구 문래동1가,413 ,59 ,204 ,24 ,3 ,,102 ,1 ,11 ,,,,,9 
서울특별시 영등포구 문래동2가,600 ,111 ,274 ,40 ,1 ,,156 ,,18 ,,,,,
서울특별시 영등포구 문래동3가,"6,074 ","1,375 ","2,180 ",237 ,36 ,4 ,"1,928 ",1 ,247 ,4 ,,,10 ,52 
서울특별시 영등포구 문래동4가,804 ,150 ,297 ,60 ,1 ,1 ,261 ,,30 ,1 ,1 ,,2 ,
서울특별시 영등포구 문래동5가,"2,055 ",407 ,763 ,111 ,4 ,2 ,665 ,,98 ,,2 ,,1 ,2 
서울특별시 영등포구 문래동6가,"4,120 ",833 ,"1,387 ",277 ,26 ,3 ,"1,356 ",,208 ,2 ,,,2 ,26 
서울특별시 영등포구 양평동1가,"2,744 ",328 ,"1,330 ",484 ,13 ,1 ,519 ,,59 ,2 ,,,,8 
서울특별시 영등포구 양평동2가,"3,276 ",537 ,"1,505 ",218 ,9 ,2 ,867 ,7 ,105 ,2 ,3 ,,1 ,20 
서울특별시 영등포구 양평동3가,"6,949 ","1,186 ","2,785 ",415 ,20 ,4 ,"2,138 ",,284 ,5 ,35 ,,4 ,73 
서울특별시 영등포구 양평동4가,"3,072 ",515 ,"1,392 ",167 ,18 ,1 ,845 ,5 ,117 ,1 ,4 ,,3 ,4 
서울특별시 영등포구 양평동5가,"3,926 ",568 ,"2,111 ",196 ,27 ,1 ,877 ,,135 ,1 ,,,2 ,8 
서울특별시 영등포구 양평동6가,"1,913 ",325 ,655 ,363 ,15 ,,484 ,2 ,63 ,2 ,1 ,,1 ,2 
서울특별시 영등포구 양화동,5 ,1 ,2 ,1 ,,,,,1 ,,,,,
서울특별시 영등포구 신길동,"30,924 ","6,052 ","11,189 ","2,297 ",148 ,13 ,"9,969 ",10 ,"1,154 ",9 ,25 ,,15 ,43 
서울특별시 영등포구 대림동,"17,314 ","2,827 ","7,219 ","1,648 ",73 ,3 ,"5,034 ",1 ,484 ,4 ,4 ,,9 ,8 
서울특별시 영등포구 양평동,3 ,,1 ,,,,2 ,,,,,,,
서울특별시 동작구 노량진동,"8,042 ","1,703 ","2,753 ",606 ,56 ,2 ,"2,604 ",6 ,285 ,3 ,8 ,,5 ,11 
서울특별시 동작구 상도동,"31,693 ","6,858 ","10,148 ","2,393 ",150 ,8 ,"10,645 ",15 ,"1,380 ",12 ,23 ,,27 ,34 
서울특별시 동작구 상도1동,"1,846 ",349 ,663 ,155 ,7 ,,589 ,,79 ,,1 ,,1 ,2 
서울특별시 동작구 본동,"3,361 ",802 ,"1,036 ",204 ,21 ,3 ,"1,086 ",1 ,196 ,4 ,1 ,,2 ,5 
서울특별시 동작구 흑석동,"9,163 ","2,344 ","2,830 ",476 ,59 ,2 ,"2,894 ",10 ,513 ,11 ,5 ,,8 ,11 
서울특별시 동작구 동작동,"1,640 ",433 ,488 ,63 ,11 ,,531 ,,108 ,2 ,2 ,,1 ,1 
서울특별시 동작구 사당동,"26,692 ","6,062 ","8,558 ","1,795 ",127 ,6 ,"8,911 ",14 ,"1,142 ",13 ,16 ,,18 ,30 
서울특별시 동작구 대방동,"10,565 ","2,254 ","3,342 ",747 ,43 ,8 ,"3,674 ",15 ,446 ,5 ,2 ,,10 ,19 
서울특별시 동작구 신대방동,"13,240 ","2,764 ","4,838 ",770 ,87 ,5 ,"4,241 ",1 ,491 ,3 ,10 ,,11 ,19 
서울특별시 관악구 봉천동,"54,521 ","10,719 ","18,391 ","4,549 ",294 ,20 ,"18,164 ",40 ,"2,178 ",15 ,39 ,,31 ,81 
서울특별시 관악구 신림동,"59,292 ","10,894 ","21,530 ","5,725 ",285 ,29 ,"18,703 ",186 ,"1,782 ",17 ,46 ,,18 ,77 
서울특별시 관악구 남현동,"5,034 ","1,031 ","1,704 ",356 ,15 ,2 ,"1,691 ",8 ,215 ,1 ,3 ,,6 ,2 
서울특별시 서초구 방배동,"38,397 ","10,393 ","11,902 ","1,758 ",273 ,15 ,"11,622 ",302 ,"2,011 ",24 ,10 ,,30 ,57 
서울특별시 서초구 양재동,"24,988 ","4,318 ","9,847 ","1,199 ",788 ,7 ,"7,310 ",33 ,"1,283 ",14 ,12 ,,91 ,86 
서울특별시 서초구 우면동,"9,134 ","2,213 ","2,746 ",728 ,79 ,4 ,"2,771 ",32 ,494 ,5 ,8 ,,20 ,34 
서울특별시 서초구 원지동,155 ,28 ,78 ,16 ,1 ,,28 ,,4 ,,,,,
서울특별시 서초구 잠원동,"17,756 ","5,909 ","4,741 ",532 ,91 ,9 ,"5,384 ",2 ,"1,033 ",16 ,1 ,,9 ,29 
서울특별시 서초구 반포동,"27,780 ","9,511 ","7,917 ",680 ,397 ,10 ,"7,637 ",2 ,"1,532 ",15 ,5 ,,19 ,55 
서울특별시 서초구 서초동,"51,930 ","14,850 ","16,402 ","1,303 ","1,224 ",11 ,"15,190 ",26 ,"2,685 ",44 ,10 ,,41 ,144 
서울특별시 서초구 내곡동,"4,431 ",843 ,"1,442 ",623 ,66 ,,"1,231 ",14 ,186 ,6 ,1 ,,8 ,11 
서울특별시 서초구 염곡동,853 ,113 ,361 ,60 ,4 ,,156 ,122 ,28 ,,3 ,,5 ,1 
서울특별시 서초구 신원동,"3,042 ",737 ,"1,012 ",184 ,41 ,2 ,877 ,,173 ,2 ,2 ,,3 ,9 
서울특별시 강남구 학동,8 ,3 ,5 ,,,,,,,,,,,
서울특별시 강남구 역삼동,"36,627 ","9,388 ","10,579 ","1,311 ",679 ,9 ,"9,896 ",9 ,"4,625 ",32 ,7 ,,14 ,78 
서울특별시 강남구 포이동,4 ,2 ,1 ,,,,1 ,,,,,,,
서울특별시 강남구 개포동,"22,928 ","6,222 ","6,839 ","1,162 ",189 ,8 ,"7,021 ",172 ,"1,245 ",10 ,10 ,,17 ,33 
서울특별시 강남구 청담동,"12,041 ","4,205 ","3,846 ",266 ,130 ,2 ,"2,944 ",6 ,548 ,53 ,3 ,,6 ,32 
서울특별시 강남구 삼성동,"20,319 ","6,175 ","6,329 ",649 ,233 ,3 ,"5,782 ",33 ,978 ,17 ,10 ,,13 ,97 
서울특별시 강남구 대치동,"38,994 ","10,282 ","8,768 ","1,069 ","6,188 ",23 ,"10,155 ",6 ,"2,388 ",39 ,5 ,,25 ,46 
서울특별시 강남구 신사동,"6,674 ","1,807 ","2,397 ",235 ,50 ,5 ,"1,880 ",,271 ,10 ,,,1 ,18 
서울특별시 강남구 논현동,"20,920 ","5,665 ","7,345 ",789 ,151 ,7 ,"6,123 ",9 ,740 ,20 ,7 ,,10 ,54 
서울특별시 강남구 압구정동,"13,629 ","4,597 ","3,627 ",294 ,71 ,5 ,"4,182 ",,803 ,21 ,3 ,,9 ,17 
